Nazwisko aktualne,Liczba
PORĘBSKA,4661
CHUDZIK,4655
MARCHEWKA,4651
KŁOSOWSKA,4649
STAŃCZAK,4649
SOJKA,4643
URBANEK,4637
JARZĄBEK,4630
BIAŁKOWSKA,4627
MACIĄG,4625
KALISZ,4624
KASPEREK,4622
DĄBKOWSKA,4613
CZERNIAK,4611
JURCZAK,4610
BALCERZAK,4608
GŁĄB,4600
CZEKAJ,4596
PIŁAT,4592
CICHA,4583
BARTNIK,4582
GADOMSKA,4582
FRĄTCZAK,4581
STACHURSKA,4575
WIĄCEK,4560
GOLEC,4555
JAROS,4555
TRACZ,4554
KUŹMA,4550
KORZENIOWSKA,4548
URBANOWICZ,4547
KUCIŃSKA,4532
PIETRUSZKA,4530
WOLIŃSKA,4528
OLCZYK,4526
BŁASZCZAK,4513
SURMA,4505
OSSOWSKA,4495
PAWLICKA,4495
SZELĄG,4492
RUDZKA,4486
ŻYŁA,4478
STACHOWICZ,4471
ZABŁOCKA,4470
KOPACZ,4467
RYBARCZYK,4467
ALEKSANDROWICZ,4454
MOSKAL,4451
BUDZIŃSKA,4445
PIOTROWICZ,4444
RYŚ,4440
SZYMKOWIAK,4440
BIELSKA,4436
KOS,4424
KOSTECKA,4417
GRUDZIEŃ,4414
ŚLĘZAK,4404
KOSOWSKA,4402
MAGIERA,4401
PRUS,4401
RADECKA,4401
WOJTKOWIAK,4400
MACKIEWICZ,4395
MILLER,4380
LESIAK,4374
WOŹNICA,4370
RUDNIK,4357
BIELIŃSKA,4356
GRZEŚKOWIAK,4356
WARZECHA,4356
KAWECKA,4349
KULIŃSKA,4342
KUJAWSKA,4341
JURCZYK,4333
SOBAŃSKA,4327
TRELA,4325
NAPIERAŁA,4321
SĘK,4318
SOBOTA,4317
WOJTASIK,4314
HERMAN,4310
KOZIK,4306
PELC,4297
TOMASIK,4287
FURMAN,4280
SEKUŁA,4275
KMIEĆ,4272
KRAKOWSKA,4272
STAWICKA,4270
KRASOWSKA,4259
GRUDZIŃSKA,4258
SZUBA,4256
PEŁKA,4246
OLEKSY,4244
WOLNA,4244
POGORZELSKA,4243
WOŁOSZYN,4233
SKORUPA,4228
GUT,4225
ROMAN,4218
ŚMIGIELSKA,4216
MIERZWA,4207
PIWOWARSKA,4201
ŚWIĄTKOWSKA,4196
BANASZEK,4187
SZWARC,4186
IZDEBSKA,4178
BISKUP,4170
LITWIN,4159
HOFFMANN,4157
RATAJCZYK,4157
KRUCZEK,4147
ŁUKASZEWICZ,4143
KRUKOWSKA,4124
KAWKA,4116
JUSZCZYK,4110
NIEDZIELA,4095
ROSZAK,4088
STUDZIŃSKA,4072
WERNER,4070
MAKUCH,4067
LORENC,4065
PIĘTKA,4061
ŚWIDER,4060
MAŃKA,4050
DUSZYŃSKA,4040
ROSZKOWSKA,4039
KRÓLAK,4036
WIŚNIOWSKA,4035
SIWIEC,4028
POLAŃSKA,4023
SZAREK,4023
JÓŹWIK,4018
LISZKA,4009
KARCZ,4006
SZOT,4001
WRZESIŃSKA,4001
JEZIORSKA,4000
SCHMIDT,3998
PAPROCKA,3996
KWIATEK,3975
ROŻEK,3975
BOGACZ,3973
ADAMIEC,3958
BOBROWSKA,3955
ŻUCHOWSKA,3955
BURY,3952
JAKUBCZYK,3946
KNAP,3939
NOWIŃSKA,3939
KORZENIEWSKA,3938
KRASZEWSKA,3936
KOSMALA,3928
SIDOR,3928
FILIP,3925
KORCZAK,3925
TUROWSKA,3921
GRABARCZYK,3917
RUSEK,3917
DROŻDŻ,3915
WOŹNA,3914
KRUSZYŃSKA,3889
GACEK,3887
GRODZKA,3885
MIELCAREK,3884
WOJDA,3882
TKACZ,3879
PASZKIEWICZ,3875
WACH,3868
BOGDAŃSKA,3862
LANGE,3860
RZEPECKA,3854
GRZYBEK,3844
KUKLA,3844
KUSIAK,3841
GOLA,3829
BORYS,3828
LEWIŃSKA,3827
KĘDZIOR,3825
ŚPIEWAK,3823
MAŁKOWSKA,3822
SZOPA,3810
KOZAKIEWICZ,3807
WAGNER,3804
ROGOZIŃSKA,3803
SZELIGA,3803
JAKUBIEC,3793
TOKARCZYK,3791
